Method name: x,,,,,,
Application: SparkControl,,,,V2.3,,
Device: Spark,,,,Serial number: x,,
Firmware:,,,,LUM:V5.2.3|ABS:V4.3.2|ABS_MEX:V5.0.7|MTP:V13.1.5|FLUOR:V5.1.3|FLUOR_BOTTOM:V5.0.2|FLUOR_MEM:V5.0.7|FLUOR_MEX:V5.0.7,,
,,,,,,
Date:,,,,19/12/2019,,
Time:,,,,3:20 PM,,
System,,,,x,,
User,,,,x\x,,
Plate,,,,[GRE96ft] - Greiner 96 Flat Transparent Cat. No.: 655101/655161/655192,,
Lid lifter,,,,No lid,,
Humidity Cassette,,,,No humidity cassette,,
Smooth mode,,,,Not selected,,
,,,,,,
List of actions in this measurement script:,,,,,,
Plate,,,,,,
,Absorbance,,,,,OD600
,Absorbance,,,,,OD700
,Fluorescence Top Reading,,,,,GFP 40
,Fluorescence Top Reading,,,,,GFP 50
,Fluorescence Top Reading,,,,,GFP 60
,Fluorescence Top Reading,,,,,GFP 70
,Fluorescence Top Reading,,,,,GFP 80
,Fluorescence Top Reading,,,,,GFP 90
,Fluorescence Top Reading,,,,,GFP 100
,Fluorescence Top Reading,,,,,GFP 110
,Fluorescence Top Reading,,,,,GFP 120
,,,,,,
C2,19136,16840,,,,
C3,10078,17507,,,,
C4,5127,18176,,,,
C5,2559,18844,,,,
C6,1280,19512,,,,
C7,670,20180,,,,
C8,338,20847,,,,
C9,182,21515,,,,
C10,95,22183,,,,
C11,51,22853,,,,
C12,7,23521,,,,
D1,37406,31552,,,,
D2,19101,30884,,,,
D3,9732,30217,,,,
D4,4510,29549,,,,
D5,2392,28881,,,,
D6,1172,28213,,,,
D7,576,27544,,,,
D8,291,26876,,,,
D9,147,26208,,,,
D10,77,25540,,,,
D11,40,24872,,,,
D12,6,24205,,,,
E1,7,32237,,,,
E2,8,32904,,,,
E3,8,33572,,,,
E4,8,34240,,,,
E5,7,34908,,,,
E6,7,35576,,,,
E7,8,36243,,,,
E8,7,36910,,,,
E9,7,37578,,,,
E10,7,38247,,,,
E11,7,38915,,,,
E12,7,39583,,,,
F1,8,47611,,,,
F2,8,46943,,,,
F3,8,46275,,,,
F4,7,45607,,,,
F5,8,44939,,,,
F6,7,44271,,,,
F7,7,43603,,,,
F8,7,42935,,,,
F9,7,42268,,,,
F10,7,41601,,,,
F11,7,40933,,,,
F12,7,40265,,,,
G1,7,48293,,,,
G2,7,48961,,,,
G3,8,49629,,,,
G4,8,50296,,,,
G5,8,50963,,,,
G6,8,51631,,,,
G7,8,52299,,,,
G8,7,52967,,,,
G9,7,53635,,,,
G10,7,54303,,,,
G11,7,54971,,,,
G12,6,55639,,,,
H1,7,63670,,,,
H2,7,63002,,,,
H3,7,62334,,,,
H4,7,61666,,,,
H5,8,60998,,,,
H6,7,60331,,,,
H7,9,59663,,,,
H8,10,58995,,,,
H9,8,58327,,,,
H10,7,57658,,,,
H11,7,56990,,,,
H12,7,56323,,,,
,,,,,,
,,,,,,
End Time,,,,19/12/2019 15:12,,
,,,,,,
Mode,Fluorescence Top Reading,,,,,
Name,GFP 70,,,,,
Excitation,,,,Monochromator,,
Excitation wavelength,,,,488,nm,
Excitation bandwidth,,,,20,nm,
Emission,,,,Monochromator,,
Emission wavelength,,,,530,nm,
Emission bandwidth,,,,20,nm,
Gain,,,,70,Manual,
Mirror,,,,Automatic (Dichroic 510),,
Number of flashes,,,,30,,
Integration time,,,,40,µs,
Lag time,,,,0,µs,
Settle time,,,,0,ms,
Z-Position,,,,20000,µm,
Z-Position mode,,,,Manual,,
Part of Plate,,,,A1-H12,,
,,,,,,
Start Time,,,,19/12/2019 15:12,,
Temperature,,,,28,°C,
,,,,,,
<>,Value,Time [ms],,,,
A1,OVER,0,,,,
A2,54510,777,,,,
A3,27864,1445,,,,
A4,14513,2113,,,,
A5,7128,2781,,,,
A6,3388,3449,,,,
A7,1733,4116,,,,
A8,883,4784,,,,
A9,454,5453,,,,
A10,227,6121,,,,
A11,124,6788,,,,
A12,20,7456,,,,
B1,OVER,15486,,,,
B2,53645,14818,,,,
B3,28562,14150,,,,
B4,14304,13482,,,,
B5,6901,12814,,,,
B6,3443,12146,,,,
B7,1722,11477,,,,
B8,857,10810,,,,
B9,445,10142,,,,
B10,223,9475,,,,
B11,121,8807,,,,
B12,20,8140,,,,
C1,OVER,16170,,,,
C2,54613,16837,,,,
C3,29570,17505,,,,
C4,15429,18173,,,,
C5,7651,18841,,,,
C6,3853,19509,,,,
C7,2011,20177,,,,
C8,1018,20844,,,,
C9,545,21512,,,,
C10,282,22181,,,,
C11,152,22849,,,,
C12,20,23517,,,,
D1,OVER,31546,,,,
D2,54386,30878,,,,
D3,28393,30210,,,,
D4,13505,29543,,,,
D5,7088,28875,,,,
D6,3468,28208,,,,
D7,1684,27541,,,,
D8,863,26873,,,,
D9,437,26205,,,,
D10,225,25537,,,,
D11,118,24869,,,,
D12,19,24201,,,,
E1,23,32231,,,,
E2,23,32899,,,,
E3,23,33567,,,,
E4,22,34234,,,,
E5,22,34901,,,,
E6,22,35569,,,,
E7,22,36236,,,,
E8,23,36903,,,,
E9,21,37571,,,,
E10,22,38239,,,,
E11,21,38906,,,,
E12,21,39574,,,,
F1,21,47605,,,,
F2,23,46937,,,,
F3,24,46270,,,,
F4,23,45602,,,,
F5,23,44934,,,,
F6,22,44266,,,,
F7,22,43598,,,,
F8,21,42930,,,,
F9,22,42262,,,,
F10,22,41593,,,,
F11,20,40926,,,,
F12,20,40258,,,,
G1,22,48290,,,,
G2,23,48957,,,,
G3,23,49625,,,,
G4,24,50293,,,,
G5,24,50962,,,,
G6,23,51629,,,,
G7,22,52297,,,,
G8,22,52965,,,,
G9,22,53633,,,,
G10,21,54301,,,,
G11,21,54969,,,,
G12,20,55637,,,,
H1,22,63669,,,,
H2,23,63001,,,,
H3,22,62334,,,,
H4,23,61666,,,,
H5,23,60997,,,,
H6,22,60330,,,,
H7,27,59663,,,,
H8,28,58995,,,,
H9,24,58328,,,,
H10,22,57657,,,,
H11,22,56989,,,,
H12,22,56321,,,,
,,,,,,
,,,,,,
End Time,,,,19/12/2019 15:13,,
,,,,,,
Mode,Fluorescence Top Reading,,,,,
Name,GFP 80,,,,,
Excitation,,,,Monochromator,,
Excitation wavelength,,,,488,nm,
Excitation bandwidth,,,,20,nm,
Emission,,,,Monochromator,,
Emission wavelength,,,,530,nm,
Emission bandwidth,,,,20,nm,
Gain,,,,80,Manual,
Mirror,,,,Automatic (Dichroic 510),,
Number of flashes,,,,30,,
Integration time,,,,40,µs,
Lag time,,,,0,µs,
Settle time,,,,0,ms,
Z-Position,,,,20000,µm,
Z-Position mode,,,,Manual,,
Part of Plate,,,,A1-H12,,
,,,,,,
Start Time,,,,19/12/2019 15:13,,
Temperature,,,,28,°C,
,,,,,,
<>,Value,Time [ms],,,,
A1,OVER,0,,,,
A2,OVER,777,,,,
A3,OVER,1445,,,,
A4,36349,2112,,,,
A5,18282,2780,,,,
A6,8672,3448,,,,
A7,4464,4116,,,,
A8,2255,4784,,,,
A9,1160,5453,,,,
A10,578,6121,,,,
A11,316,6789,,,,
A12,52,7456,,,,
B1,OVER,15486,,,,
B2,OVER,14818,,,,
B3,OVER,14150,,,,
B4,35869,13482,,,,
B5,17604,12815,,,,
B6,8880,12147,,,,
B7,4417,11480,,,,
B8,2162,10812,,,,
B9,1127,10144,,,,
B10,563,9476,,,,
B11,312,8808,,,,
B12,52,8140,,,,
C1,OVER,16170,,,,
C2,OVER,16838,,,,
C3,OVER,17506,,,,
C4,38751,18174,,,,
C5,19627,18842,,,,
C6,9783,19510,,,,
C7,5184,20177,,,,
C8,2588,20845,,,,
C9,1390,21513,,,,
C10,724,22181,,,,
C11,390,22849,,,,
C12,52,23517,,,,
D1,OVER,31547,,,,
D2,OVER,30880,,,,
D3,OVER,30212,,,,
D4,33991,29544,,,,
D5,18110,28877,,,,
D6,8910,28209,,,,
D7,4333,27542,,,,
D8,2223,26874,,,,
D9,1121,26206,,,,
D10,577,25538,,,,
D11,307,24869,,,,
D12,50,24202,,,,
E1,56,32231,,,,
E2,60,32898,,,,
E3,60,33566,,,,
E4,59,34234,,,,
E5,57,34903,,,,
E6,56,35571,,,,
E7,55,36239,,,,
E8,56,36907,,,,
E9,55,37575,,,,
E10,57,38243,,,,
E11,56,38911,,,,
E12,54,39578,,,,
F1,56,47610,,,,
F2,60,46942,,,,
F3,61,46274,,,,
F4,58,45606,,,,
F5,58,44937,,,,
F6,57,44269,,,,
F7,56,43602,,,,
F8,54,42934,,,,
F9,55,42266,,,,
F10,57,41598,,,,
F11,52,40930,,,,
F12,54,40262,,,,
G1,56,48294,,,,
G2,58,48962,,,,
G3,60,49630,,,,
G4,62,50297,,,,
G5,59,50965,,,,
G6,59,51633,,,,
G7,57,52301,,,,
G8,58,52969,,,,
G9,56,53637,,,,
G10,52,54305,,,,
G11,54,54973,,,,
G12,51,55642,,,,
H1,55,63672,,,,
H2,58,63005,,,,
H3,58,62337,,,,
H4,57,61669,,,,
H5,60,61001,,,,
H6,56,60333,,,,
H7,68,59665,,,,
H8,73,58997,,,,
H9,65,58329,,,,
H10,57,57662,,,,
H11,57,56994,,,,
H12,55,56326,,,,
,,,,,,
,,,,,,
End Time,,,,19/12/2019 15:15,,
,,,,,,
Mode,Fluorescence Top Reading,,,,,
Name,GFP 90,,,,,
Excitation,,,,Monochromator,,
Excitation wavelength,,,,488,nm,
Excitation bandwidth,,,,20,nm,
Emission,,,,Monochromator,,
Emission wavelength,,,,530,nm,
Emission bandwidth,,,,20,nm,
Gain,,,,90,Manual,
Mirror,,,,Automatic (Dichroic 510),,
Number of flashes,,,,30,,
Integration time,,,,40,µs,
Lag time,,,,0,µs,
Settle time,,,,0,ms,
Z-Position,,,,20000,µm,
Z-Position mode,,,,Manual,,
Part of Plate,,,,A1-H12,,
,,,,,,
Start Time,,,,19/12/2019 15:15,,
Temperature,,,,27.9,°C,
,,,,,,
<>,Value,Time [ms],,,,
A1,OVER,0,,,,
A2,OVER,778,,,,
A3,OVER,1445,,,,
