"calibrant","fluorophore","media","volume_uL","concentration","concentration_M","replicate","well","OD600","OD700","GFP 30","GFP 40","GFP 50","GFP 60","GFP 70","GFP 80","GFP 90","GFP 100","GFP 110","GFP 120","GFP 130","GFP 140","GFP 150","GFP 30 TOP","GFP 40 TOP","GFP 50 TOP","GFP 60 TOP","GFP 70 TOP","GFP 80 TOP","GFP 90 TOP","GFP 100 TOP","GFP 110 TOP","GFP 120 TOP","GFP 130 TOP","GFP 140 TOP","GFP 150 TOP","row","column"
"microspheres","","ddH20",125,534807692,7.1e-12,3,"G2",1.018,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",2
"microspheres","","ddH20",125,320884615,4.26e-12,3,"G3",0.721,0.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",3
"microspheres","","ddH20",125,192530769,2.56e-12,3,"G4",0.518,0.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4
"microspheres","","ddH20",125,115518461,1.53e-12,3,"G5",0.414,0.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",5
"microspheres","","ddH20",125,69311077,9.21e-13,3,"G6",0.298,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",6
"microspheres","","ddH20",125,41586646,5.52e-13,3,"G7",0.235,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",7
"microspheres","","ddH20",125,24951988,3.31e-13,3,"G8",0.2,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",8
"microspheres","","ddH20",125,14971193,1.99e-13,3,"G9",0.178,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",9
"microspheres","","ddH20",125,8982716,1.19e-13,3,"G10",0.18,0.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",10
"microspheres","","ddH20",125,5389630,7.16e-14,3,"G11",0.186,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",11
